TODROP,RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
259,345,60357,1.432,8.0,11.0,19.0,17,15,52.431999999999995,0,2017,2081
260,346,48795,1.099,14.0,7.0,21.0,12,18,52.099,0,2017,2081
261,347,80775,2.0,12.0,14.0,26.0,13,11,52.0,0,2017,2081
262,348,57405,0.868,7.0,14.0,21.0,14,16,51.868,0,2017,2081
263,349,52485,1.901,12.0,10.0,22.0,19,8,50.901,0,2017,2081
264,350,76347,1.2309999999999999,12.0,13.0,25.0,16,7,49.231,0,2017,2081
265,351,60603,1.568,9.0,11.0,20.0,9,18,48.568000000000005,0,2017,2081
266,352,20013,2.0,12.0,9.0,21.0,17,6,46.0,0,2017,2081
267,353,16815,2.0,15.0,7.0,22.0,11,11,46.0,0,2017,2081
268,354,91599,1.2009999999999998,7.0,9.0,16.0,12,14,43.201,0,2017,2081
269,355,51501,1.568,10.0,7.0,17.0,11,11,40.568000000000005,0,2017,2081
270,356,84465,2.0,8.0,4.0,12.0,12,9,35.0,0,2017,2081
271,1,25671,2.0,19.0,23.0,42.0,49,42,135.0,1,2017,2081
272,2,18045,2.0,21.0,24.0,45.0,46,39,132.0,1,2017,2081
273,3,10911,2.0,19.0,23.0,42.0,44,44,132.0,1,2017,2081
274,4,59373,2.0,14.0,23.0,37.0,48,42,129.0,1,2017,2081
275,5,56913,2.0,16.0,22.0,38.0,46,42,128.0,1,2017,2081
276,5,52731,2.0,19.0,22.0,41.0,41,44,128.0,1,2017,2081
277,7,60111,2.0,17.0,21.0,38.0,47,41,128.0,1,2017,2081
278,8,66999,1.901,19.0,21.0,40.0,44,42,127.90100000000001,1,2017,2081
279,9,46827,2.0,18.0,21.0,39.0,41,45,127.0,1,2017,2081
280,10,96027,2.0,15.0,19.0,34.0,45,46,127.0,1,2017,2081
281,11,59619,2.0,18.0,20.0,38.0,42,44,126.0,1,2017,2081
282,12,69705,1.901,20.0,18.0,38.0,44,42,125.90100000000001,1,2017,2081
283,13,74871,2.0,12.0,24.0,36.0,45,42,125.0,1,2017,2081
284,14,78561,2.0,14.0,19.0,33.0,47,43,125.0,1,2017,2081
285,15,27393,1.7690000000000001,15.0,23.0,38.0,37,48,124.76899999999999,1,2017,2081
286,16,18537,2.0,18.0,24.0,42.0,43,37,124.0,1,2017,2081
287,17,32559,2.0,20.0,22.0,42.0,40,40,124.0,1,2017,2081
288,18,81021,2.0,16.0,22.0,38.0,35,48,123.0,1,2017,2081
289,19,44859,2.0,14.0,21.0,35.0,41,45,123.0,1,2017,2081
290,20,18291,2.0,13.0,22.0,35.0,44,41,122.0,1,2017,2081
291,21,97749,2.0,13.0,21.0,34.0,43,43,122.0,1,2017,2081
292,22,79053,2.0,13.0,20.0,33.0,45,42,122.0,1,2017,2081
293,23,39447,2.0,14.0,19.0,33.0,47,40,122.0,1,2017,2081
