Výsledek 1.kola přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4L-Rl81 Gymnázia, Praha 6, Nad Alejí L952",,,,,,,,
l.term ín t8.4.2oL7 a 2.termín 20.4.2oL7,,,,,,,,
V souladu s 5 609 školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl,,,,,,,,
"vzdělávat se v Gymn ázlu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli",,,,,,,,
"školy, a to nejpozději do L0 pracovních dnů ode dne zveřejnění seznamu (17.5.2017\.",,,,,,,,
NepotvrdĹli uchazeč/uchazečka nebo zákonný zástupce nezletilého uchazeče/nezletilé,,,,,,,,
"uchazečky odevzdáním zápisového lístku úmysl vzdělávat Se Ve středníškole, zanĺl<ají",,,,,,,,
posledním dnem lhůty právní účinkyrozhodnutí o přijetítohoto uchazeče ke vzdělávánív,,,,,,,,
dané středníškole. Nezletilého uchazeče/nezletĺlouuchazečku zastupuje zákonný zástupce,,,,,,,,
"V rozsahu, v jakém nemá nezletilý/nezletilá procesnízpůsobilost.",,,,,,,,
ěíslo,,Či,,Body,Body Zš,Celkem,Umĺstění,Výsledek
zkoušky,Termín,,M,zkouška,,,,př.řízení
434,1,47,4I,88,t2,100,45.-47,přiiat/a
435,1.,20,28,48,8,56,402,nepřiiat/a
437,"1,",18,"21""",39,8,47,424.,nepřijat/a
438,2,28,27,55,72,67,339.,nepřijat/a
439,2,36,46,8Ż,IZ,94,86,nepřijat/a
440,2,38,15,53,L2,65,357,nepřijat/a
44r,z,31,43,74,T2,86,165,nepřijat/a
442,"1,",44,"41,",85,1.2,97,66.-67,nepřijat/a
443,2,35,35,70,9,79,230,n e přijat/a

444,1,23,32,55,6,61,374,nepřiiat/a
445,2,44,38,82,12,94,96,nepřiiat/a
446,2,17,44,61,12,73,286,nepřiiat/a
447,1,25,z6,51,"1,2",63,36s.-366,nepřiiat/a
448,7,18,21,39,7,46,430,nepřiiat/a
449,t,31,36,67,t2,79,233,nepřijat/a
450,1,31,32,63,12,75,273,nepřijat/a
45r,1.,21.,31,52,10,62,370.,nepřĺjat/a
452,"1,",29,33,62,9,7T,302.,nepřijat/a
453,2,27,33,60,7,67,334.,nepřijat/a
454,L,39,35,74,12,86,"1,69.-I70",nepřiĺat/a
455,1,4T,39,80,t2,92,104.-105,nepřiiat/a
456,T,34,37,"71,",8,79,228,nepřiiat/a
457,"1,",30,L8,48,T2,60,382,nepřijat/a
458,"1,",4Ż,48,90,IŻ,1.O2,23.-24,přĺjat/a
459,1.,32,35,67,12,79,234,nepřijat/a
460,1,10,16,26,11.,37,447,nepřijat/a
461,7,34,32,66,12,78,244,nepřijat/a
462,2,34,21.,55,"1.1,",66,347,nepřiiat/a
463,2,32,23,55,5,60,376.,nepřiiat/a
464,1.,40,33,73,t2,85,175.,nepřijat/a
465,T,42,44,86,T2,98,55.,přijat/a
466,1,30,zo,50,7,57,396.,nepřĺjat/a
467,t,38,34,72,1'Ż,84,190.,nepřijat/a
468,T,38,44,82,1.2,94,"87.-88,",nepřiiat/a
469,1.,45,35,80,1.2,92,L09,nepřiiat/a
470,1.,32,38,70,"11,",81,"21""O",nepřiiat/a
471,z,21,35,56,T2,68,331,nepřĺiat/a
472,t,35,22,57,T2,69,326,nepřijat/a
473,2,34,34,68,"1,2",80,2Ż4'-Ż25.,nepřijat/a
474,L,33,46,79,1.2,97,113.,nepřiiat/a
475,1.,30,32,62,T2,74,278,nepřiiat/a
476,1.,41.,30,7I,IŻ,83,203,nepřiiat/a
477,T,30,39,69,0,69,318,nepřiiat/a
478,t,29,25,54,T2,66,349,nepřijat/a
479,I,"21,",30,51,12,63,364,nepřijat/a
480,"1,",27,30,57,9,66,344,nepřijat/a
481,I,L8,29,47,10,57,397,nepřijat/a
482,t,34,30,64,12,76,264.,nepřiiat/a
484,2,35,"41,",76,1.1.,87,"1,52",nepřiiat/a
493,2,31,23,54,8,62,367,nepřĺjat/a
494,1.,42,37,79,12,91,118.,nepřijat/a
495,2,3Z,18,50,8,5B,391,nepřijat/a
496,2,35,28,63,12,75,Ż74.,nepřijat/a
497,7,36,40,76,TZ,88,I44.-r45,nepřĺiat/a
498,"1,",42,38,80,1.1.,91,"1,12",nepřiiat/a
499,2,43,45,88,12,100,40,přijatla
500,2,49,46,95,"1,2",to7,6,přijat/a
501,2,Ż6,27,53,2,55,406,nepřijat/a
502,2,1.4,23,37,3,40,441..,nepřĺjat/a
503,1.,34,32,66,9,75,268.,nepřijat/a
504,7,26,31,57,1.1.,68,330.,nepřijat/a
s05,2,19,26,45,5,50,"4r9,",nepřijat/a

506,2,22,32,54,II,65,3s3.,nepřijat/a
507,1,42,40,82,12,94,93.-94,nepřijat/a
508,"1,",45,48,93,12,105,1.1..-1.2,přijat/a
509,2,29,24,53,12,65,356,nepřijat/a
510,I,4Ż,38,80,TZ,92,106.,nepřijat/a
511,I,4I,44,85,1.r,96,"71,.",nepřijat/a
5L2,I,39,36,75,12,87,159,nepřĺjat/a
513,t,37,35,72,"1,1",83,198,nepřijat/a
5r4,1.,45,44,89,t2,10L,32.-35,přiiat/a
515,2,1.4,15,29,2,31,455,nepřiiat/a
516,2,3L,28,59,IZ,71,"31,2",nepřiiat/a
518,2,27,36,63,T2,75,27t,nepřiiat/a
519,t,35,31,66,LŻ,78,245,nepřĺjat/a
s20,"1,",34,44,78,9,87,L5L.,nepřijat/a
"s21,","1,",t4,ŻI,35,3,38,445.,nepřiiat/a
522,2,43,41,84,t2,96,74.-75,nepřiiat/a
s23,1.,0,0,0,IZ,IZ,,probíhá PŘ
524,1.,32,42,74,4,78,239,nepřĺiat/a
527,2,41,35,76,8,84,176.,nepřĺiat/a
528,2,24,36,60,9,69,319.,nepřijat/a
529,L,24,27,51,7,58,389,nepřijat/a
530,z,24,30,54,t2,66,348.,nepřijat/a
531_,T,37,4t,78,12,90,I24.-r25,nepřiiat/a
532,I,25,18,43,7,50,420.,nepřiiat/a
s33,1,21,L6,37,7,44,434.,nepřiiat/a
534,2,1B,34,52,5,57,39s,nepřijat/a
s35,2,19,20,39,8,47,425,nepřijat/a
540,2,29,2B,57,B,65,3s0.,nepřijat/a
