Výsledky přijímacího řízenív 1.kole přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4t-Kĺ81 Gymnázia, Praha 6, Nad Atejí L952",,,,,,,,
l.termín 13.4.2oL8 a 2.termín L7 .4.2oL8,,,,,,,,
V souladu s 5 60g školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl vzdělávat se v,,,,,,,,
"Gymnáziu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli školy, a to nejpozději",,,,,,,,
do L0 pracovních dnů ode dne zveřejněníseznamu (16.5.2018).NepotvrdĹli uchazeč/uchazečka,,,,,,,,
nebo zákonný zástupce nezletilého uchazeče/nezletiléuchazečky odevzdáním zápisového lístku,,,,,,,,
"úmysl vzdělávat se Ve střední škole, zanikají posledním dnem lhůty právní účinkyrozhodnutío",,,,,,,,
přijetítohoto uchazeče ke vzdělávánív dané středníškole. Nezletilého uchazeče/nezletĺlou,,,,,,,,
"uchazečku zastupuje zákonný zástupce v rozsahu, v jakém nemá nezletilý/nezletĺlá procesní",,,,,,,,
způsobilost.,,,,,,,,
číslo,,,,Body,,,,
,,,,,,,,Výsledek
,Terrnĺn,,,zkouška,,,Umístění,př.řízení
375,2,30,T2,42,L2,54,338.-339,nepřiiaVa
376,t,44,39,83,T2,95,4I,přijaUa
377,1,43,33,76,L2,88,85,nepřijaVa
378,2,33,24,57,t2,69,237.-239.,nepřiiat/a
379,T,39,35,74,T2,86,96,nepřijaVa
381,2,38,3L,69,T2,81,131.,nepřijaVa
382,"1,",2t,19,40,10,50,364.,nepřijaUa
383,2,23,20,43,10,53,343.-344.,nepřijat/a
38s,"1,",44,48,92,12,104,"1J,",Přiiat/a
386,I,31,27,58,12,70,226.,nepřiĺaVa
388,z,27,26,53,12,65,Ż66,nepřijaVa
389,2,33,26,59,12,7L,"21,6.-217",nepřijaUa
390,2,37,27,64,6,70,220.,nepřijaUa
391,2,48,49,97,12,L09,t.,přijaVa
392,I,49,30,79,12,91,66.,nepřijaUa

393,"1,",15,23,38,9,47,380.,nepřijava
395,t,48,28,76,12,88,87,nepřijat/a
396,2,Ż8,13,4L,6,47,379,nepřijaUa
397,2,33,20,53,1.r,64,275,nepřijat/a
400,1.,32,35,67,L2,79,1.44,nepřijat/a
40r,2,24,33,57,12,69,232.-233,nepřijaua
402,2,15,I7,26,8,34,4I9.,nepřijaUa
403,T,37,2L,58,12,70,229.,nepřijat/a
404,1.,13,6,L9,6,25,428,nepřiiat/a
405,1.,4L,40,81,LZ,93,50,přiiat/a
406,L,L3,3,16,4,Ż0,431,nepřijaUa
407,1.,32,28,60,12,7Ż,207.-208,nepřiiaUa
408,1.,27,30,57,12,69,Ż34.,nepřijaUa
4ro,1,42,39,81,12,93,51,přijat/a
"471,",2,42,42,84,IZ,96,35.,přijaVa
412,2,39,37,76,72,88,83.,nepřijat/a
413,2,19,"1,r",30,7,37,409,nepřiiaUa
4L6,2,33,20,53,t2,65,27o.-Ż7L.,nepřiiaUa
418,2,36,34,70,1-L,81,130.,nepřiiaVa
420,2,T7,L8,35,6,41.,397,nepřiiaVa
42r,I,3L,9,40,IZ,52,354.,nepřiiaUa
422,2,40,42,82,L2,94,43,přiiaVa
423,1.,30,31,61,6,67,25r,nepřijaUa
424,T,31,26,57,12,69,237.-239,nepřijaUa
426,I,44,25,69,12,81,r34.,nepřijat/a
427,1-,37,29,66,L2,78,157.-159.,nepřiiaVa
4Ż8,t,32,34,66,12,78,156,nepřiiaVa
429,2,33,20,53,12,65,270.-27L.,nepřiiaUa
430,2,44,34,78,10,88,82.,nepřiiaVa
431,1.,27,2I,48,t2,60,308.,nepřijaVa
432,2,38,25,63,10,73,195.,nepřijaUa
433,I,38,42,80,t2,92,57.,přijat/a
434,2,36,31,67,72,79,1.47.,nepřiiat/a
437,7,31,15,46,"1,r",57,32L,nepřijat/a
438,1.,32,29,61,9,70,22r,nepřijaVa
439,"1,",42,34,76,12,88,84,nepřijaVa
440,"1,",32,26,58,10,68,242,nepřijaUa
441,"1,",33,32,65,8,73,194,nepřijaVa
442,2,35,20,55,5,60,302.,nepřijaUa
443,2,40,30,70,12,82,r27.,nepřiiat/a
445,2,35,34,69,9,78,152.,nepřijaUa
446,2,39,22,6L,"1,L",72,206.,nepřijaVa
447,2,40,31,7I,IZ,83,727.,nepřijat/a
448,"1,",49,31,80,12,92,61.,přiiat/a
449,1.,36,17,53,9,62,28s,nepřiiaUa
450,2,34,23,57,TZ,69,247,nepřiiaVa
45I,1,29,28,57,12,69,235,nepřijaUa
452,2,29,z4,53,11,64,273,nepřijat/a
456,t,z5,26,51,6,57,318,nepřijaVa
457,2,28,25,53,8,61,294,nepřijaVa
458,2,26,44,70,1.1,81,728.,nepřiiaUa
459,1,7I,13,24,4,28,423.,nepřiiaVa

460,2,33,16,49,1.1.,60,307,nepřijaVa
46r,2,30,T2,42,12,54,338.-339.,nepřijaua
462,2,42,4L,83,12,95,39.-40.,přiiaUa
463,2,23,T7,40,4,44,389.,nepřiiaUa
466,1,33,28,61,72,73,202.,nepřiiat/a
467,2,25,27,46,7,53,340.,nepřiiat/a
468,2,37,z4,61,LT,72,20s,nepřiiat/a
469,t,39,22,6T,72,73,204,nepřiiaua
470,I,4T,39,80,12,92,59,přiiat/a
47t,2,39,39,78,12,90,68,nepřĺjaUa
472,I,44,37,8L,IZ,93,55.-56,přijaťa
473,2,35,z4,59,8,67,252,nepřijaVa
474,2,31,2t,52,LŻ,64,278.-279,nepřijaVa
476,1.,19,2t,40,9,49,367.-368.,nepřijaVa
477,2,38,26,64,1.2,76,178.,nepřijaVa
478,1,21.,I,29,12,4L,400,nepřiiaVa
479,t,40,43,83,TZ,95,38,přiiaUa
480,z,43,43,86,10,96,34,přijaťa
481,"1,",4t,3L,72,t2,84,to6.-ro7,nepřijaUa
483,1,4t,23,64,12,76,180.,nepřijaUa
484,1,29,37,66,1.I,77,160.,nepřijaUa
